iter	Passed	Remaining
572	9675	32538
573	9692	32523
574	9708	32500
575	9725	32484
576	9739	32460
577	9757	32446
578	9773	32427
579	9791	32413
580	9807	32392
581	9825	32378
582	9841	32361
583	9860	32351
584	9877	32332
585	9893	32313
586	9908	32289
587	9925	32275
588	9940	32252
589	9957	32235
590	9975	32222
591	9991	32200
592	10007	32181
593	10023	32162
594	10040	32145
595	10059	32137
596	10076	32120
597	10091	32098
598	10109	32085
599	10126	32068
600	10145	32056
601	10164	32047
602	10179	32022
603	10195	32004
604	10211	31984
605	10228	31969
606	10243	31946
607	10259	31926
608	10277	31912
609	10294	31895
610	10310	31877
611	10325	31854
612	10340	31830
613	10356	31811
614	10373	31794
615	10389	31776
616	10404	31754
617	10422	31739
618	10440	31725
619	10458	31713
620	10476	31698
621	10494	31687
622	10512	31671
623	10530	31659
624	10547	31641
625	10565	31628
626	10580	31607
627	10595	31585
628	10612	31568
629	10629	31552
630	10645	31531
631	10662	31516
632	10682	31506
633	10698	31489
634	10715	31471
635	10732	31453
636	10748	31435
637	10764	31416
638	10784	31407
639	10800	31389
640	10818	31376
641	10837	31364
642	10855	31350
643	10870	31328
644	10884	31304
645	10903	31293
646	10921	31278
647	10939	31264
648	10957	31252
649	10975	31238
650	10991	31218
651	11009	31204
652	11024	31182
653	11041	31165
654	11055	31142
655	11071	31120
656	11086	31100
657	11104	31086
658	11122	31073
659	11139	31056
660	11156	31039
661	11171	31017
662	11191	31007
663	11206	30987
664	11221	30965
665	11239	30949
666	11256	30935
667	11274	30920
668	11287	30892
669	11301	30867
670	11318	30851
671	11336	30837
672	11353	30821
673	11370	30805
674	11384	30781
675	11403	30768
676	11418	30746
677	11435	30731
678	11453	30717
679	11470	30700
680	11488	30687
681	11503	30663
682	11521	30651
683	11536	30630
684	11552	30610
685	11567	30587
686	11584	30571
687	11601	30554
688	11615	30531
689	11633	30516
690	11651	30501
691	11667	30483
692	11683	30463
693	11699	30446
694	11716	30428
695	11733	30413
696	11751	30398
697	11767	30380
698	11787	30369
699	11802	30348
700	11820	30335
701	11837	30319
702	11855	30303
703	11873	30292
704	11888	30270
705	11906	30255
706	11922	30235
707	11939	30220
708	11957	30206
709	11975	30191
710	11991	30171
711	12006	30151
712	12023	30134
713	12037	30111
714	12054	30094
715	12072	30079
716	12090	30065
717	12106	30048
718	12121	30026
719	12137	30005
720	12153	29988
721	12171	29972
722	12188	29956
723	12205	29941
724	12222	29923
725	12238	29904
726	12256	29890
727	12275	29880
728	12293	29864
729	12309	29846
730	12325	29828
731	12344	29815
732	12360	29797
733	12378	29781
734	12396	29768
735	12413	29751
736	12428	29730
737	12447	29718
738	12463	29700
739	12479	29680
740	12497	29665
741	12512	29645
742	12526	29622
743	12541	29600
744	12555	29578
745	12575	29568
746	12590	29547
747	12608	29531
748	12625	29515
749	12641	29496
750	12657	29477
751	12672	29457
752	12691	29445
753	12707	29427
754	12722	29405
755	12738	29385
756	12755	29369
757	12771	29351
758	12792	29342
759	12809	29326
760	12825	29308
761	12841	29290
762	12859	29276
763	12875	29256
764	12893	29242
765	12910	29226
766	12929	29213
767	12947	29200
768	12962	29179
769	12980	29163
770	12997	29146
771	13014	29130
772	13031	29113
773	13048	29097
774	13065	29081
775	13080	29060
776	13095	29039
777	13112	29023
778	13131	29010
779	13148	28993
780	13163	28972
781	13177	28950
782	13194	28933
783	13209	28911
784	13226	28896
785	13244	28882
786	13261	28864
787	13278	28848
788	13293	28828
789	13309	28808
790	13326	28791
791	13343	28776
792	13360	28758
793	13378	28744
794	13395	28728
795	13411	28710
796	13428	28693
797	13446	28680
798	13465	28665
799	13481	28648
800	13498	28630
801	13515	28614
802	13533	28600
803	13549	28582
804	13564	28561
805	13580	28543
806	13600	28531
807	13616	28512
808	13634	28500
809	13652	28485
810	13669	28468
811	13685	28449
812	13699	28426
813	13716	28409
814	13734	28395
815	13751	28378
816	13766	28358
817	13781	28337
818	13796	28318
819	13815	28305
820	13833	28290
821	13850	28274
822	13866	28255
823	13883	28237
824	13899	28220
825	13917	28205
826	13933	28187
827	13951	28171
828	13966	28151
829	13984	28137
830	14001	28121
831	14019	28105
832	14037	28090
833	14055	28076
834	14073	28062
835	14088	28042
836	14106	28028
837	14121	28007
838	14138	27990
839	14152	27967
840	14170	27954
841	14187	27937
842	14204	27919
843	14219	27900
844	14235	27881
845	14250	27860
846	14267	27844
847	14283	27826
848	14301	27811
849	14320	27797
850	14335	27778
851	14351	27759
852	14366	27738
853	14383	27722
854	14400	27706
855	14418	27691
856	14436	27676
857	14455	27663
858	14473	27650
859	14488	27629
860	14506	27614
861	14522	27595
862	14538	27576
863	14555	27560
864	14571	27543
865	14586	27522
866	14601	27502
867	14620	27488
868	14637	27472
869	14653	27454
870	14671	27440
871	14689	27425
872	14707	27410
873	14724	27392
874	14740	27374
875	14758	27359
876	14775	27344
877	14793	27329
878	14811	27313
879	14825	27291
880	14839	27270
881	14856	27254
882	14871	27233
883	14889	27218
884	14907	27203
885	14923	27185
886	14939	27167
887	14957	27151
888	14972	27132
889	14988	27113
890	15003	27093
891	15018	27073
892	15035	27057
893	15053	27041
894	15068	27023
895	15086	27008
896	15103	26991
897	15121	26976
898	15139	26960
899	15156	26944
900	15175	26931
901	15191	26913
902	15206	26893
903	15221	26873
904	15237	26854
905	15254	26838
906	15268	26815
907	15285	26800
908	15303	26785
909	15321	26769
910	15338	26753
911	15354	26735
912	15373	26722
913	15387	26700
914	15403	26682
915	15419	26663
916	15434	26644
917	15448	26622
918	15467	26609
919	15485	26595
920	15504	26581
921	15521	26565
922	15538	26548
923	15554	26530
924	15572	26515
925	15590	26499
926	15605	26480
927	15620	26459
928	15637	26444
929	15655	26428
930	15672	26412
931	15689	26395
932	15705	26377
933	15722	26360
934	15737	26341
935	15754	26325
936	15771	26307
937	15788	26291
938	15803	26271
939	15820	26255
940	15834	26233
941	15850	26215
942	15869	26202
943	15883	26181
944	15903	26169
945	15919	26151
946	15935	26132
947	15954	26120
948	15972	26105
949	15990	26089
950	16006	26072
951	16023	26054
952	16041	26039
953	16055	26019
954	16070	25999
955	16088	25984
956	16102	25963
957	16117	25943
958	16135	25928
959	16153	25913
960	16169	25894
961	16185	25876
962	16204	25863
